Structure: Item Name, Item ID
Grog, 1915
Clue scroll (hard) - 16.48N 30.01W, 19840
Oak clock, 8052
Twisted (+)#(3), 20935
Crystal singing for beginners, 4313
Assorted flowers, 2460
Nitrous oxide, 5581
Clue scroll (easy) - Search the crates in the Dwarven mine, 12178
Sunfire rune, 28929
Mithril boots, 4127
Graceful legs (Hosidius)#Worn, 13634
Kandarin echo orb, 30396
Dragon bolts#Poison, 21924
Infernal ashes, 25778
Twisted (+)#(4), 20936
Sliced banana, 3162
Orange pumpkin#Laughing, 30274
Exquisite boots, 5064
Cloak of ruin, 27438
Starter bow, 22333
Twisted (+)#(1), 20933
Blue moon chestplate (Last Man Standing), 29843
Clue scroll (medium) - AHA JAR, 3616
Old chipped vase, 11183
Wyvern bonemeal, 6810
Black naval shirt, 8956
Castle wars ticket, 4067
Shoe (interface item)#Elven, brown, female, 26668
Cider(m) (keg)#2 pints, 5925
Ring of wealth scroll, 12783
Emerald amulet (u), 1677
Present (Christmas 2015), 13346
Vyre noble dress top (grey), 24838
Tyrannical ring (i)#Soul Wars, 25254
Clue scroll (elite) - 'See you in your dreams' said the vegetable man, 12157
Twisted (+)#(2), 20934
Pirate's hook, 2997
Balloon toad#Limestone, 7565
Emerald bolts (e), 9241
Feathered journal, 10179
Old notes (Dragon Slayer II)#Ungael 6, 22063
Old notes (Dragon Slayer II)#Ungael 5, 22061
Old notes (Dragon Slayer II)#Ungael 4, 22059
Healing vial#1 dose, 10545
Old notes (Dragon Slayer II)#Ungael 3, 22057
Old notes (Dragon Slayer II)#Ungael 2, 22055
Brown spice#(4), 7488
Old notes (Dragon Slayer II)#Ungael 1, 22053
Spell (unobtainable item)#Dream, 11148
Ramrod, 7120
Mystic steam staff (or), 12796
Koriff's coif#Normal, 26741
Scarred scraps, 28443
Spell (unobtainable item)#Stat Spy, 11147
Divine rune pouch#Normal, 27281
Broken vane part#Weaethervane pillar, 4433
Warrior ring, 6735
Group ironman platebody (unranked)#II, 27048
Teak eagle lectern, 8337
Group ironman platebody (unranked)#IV, 27052
Potion of power#(2), 25205
Elven top (white vest), 24027
Tullia's letter, 27596
Clue scroll (medium) - ARMCHAIR THE PELT, 19750
Fire talisman, 1442
Pyromancer hood, 20708
Dni23 arms shoulderpads, 29718
Tomato seed, 5322
Clue scroll (hard) - 19.24N 30.37W, 19842
Bell jar, 10895
Diamond speedrun trophy, 27783
Temple key, 23502
Bandos chaps, 12502
Yellow crystal (Song of the Elves), 23777
Lumberjack hat, 10941
Jewels, 4590
Spell (unobtainable item)#Watchtower Teleport, 3306
Clue scroll (easy) - Talk to a party-goer in Falador, 12169
Potion of power#(1), 25206
Bronze arrow#(p+), 5616
Poisoned cheese, 6768
Mahogany seedling#Watered, 21475
Graceful top (Piscarilius)#Worn, 13596
Dharok's platebody#25, 4895
Sigil of woodcraft#Un-attuned, 28529
Unfinished cocktail (Pineapple punch, historical)#Pineapple + Lime, 2046
Magic potion#(1), 3046
Bloodbark gauntlets, 25407
Potion of power#(4), 25203
Unusual fish, 3703
Torture ornament kit, 20062
Rock golem#Gold, 21193
Iron battleaxe, 1363
Clue scroll (medium) - 08.11S 04.48E, 12033
Unfinished cocktail (Blurberry special, historical)#Orange, 2058
Desert lizard bone#Unpolished, 7902
Astral rune shards, 11156
Adamant arrow pack, 20525
Smoke ancient sceptre#Locked, 28475
Magic potion#(2), 3044
Deadman rug, 29598
Potion of power#(3), 25204
Rift guardian#Wrath, 21990
Special hot sauce, 26916
Spiked boots, 3107
Turquoise slayer helmet (i)#Emir's Arena, 26679
Spell (unobtainable item)#Wind Wave, 3313
Purple elegant blouse, 10436
Void knight top (or)#Locked, 27000
Soft clay pack#Unidentified minerals, 24851
