Item name, item ID, item URL, item found on GE
Grog,1915,https://secure.runescape.com/m=itemdb_oldschool//viewitem?obj=1915,true
Clue scroll (hard) - 16.48N 30.01W,19840,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(hard)+-+16.48N+30.01WClue scroll %28hard) - 16.48N 30.01WClue scroll (hard%29 - 16.48N 30.01W/viewitem?obj=19840,false
Oak clock,8052,https://secure.runescape.com/m=itemdb_oldschool/Oak+clock/viewitem?obj=8052,false
Twisted (+)#(3),20935,https://secure.runescape.com/m=itemdb_oldschool/Twisted+(+)#(3)Twisted %28+)#%283)Twisted (+%29#(3%29/viewitem?obj=20935,false
Crystal singing for beginners,4313,https://secure.runescape.com/m=itemdb_oldschool/Crystal+singing+for+beginners/viewitem?obj=4313,false
Assorted flowers,2460,https://secure.runescape.com/m=itemdb_oldschool/Assorted+flowers/viewitem?obj=2460,true
Nitrous oxide,5581,https://secure.runescape.com/m=itemdb_oldschool/Nitrous+oxide/viewitem?obj=5581,false
Clue scroll (easy) - Search the crates in the Dwarven mine,12178,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(easy)+-+Search+the+crates+in+the+Dwarven+mineClue scroll %28easy) - Search the crates in the Dwarven mineClue scroll (easy%29 - Search the crates in the Dwarven mine/viewitem?obj=12178,false
Sunfire rune,28929,https://secure.runescape.com/m=itemdb_oldschool/Sunfire+rune/viewitem?obj=28929,true
Mithril boots,4127,https://secure.runescape.com/m=itemdb_oldschool/Mithril+boots/viewitem?obj=4127,true
Graceful legs (Hosidius)#Worn,13634,https://secure.runescape.com/m=itemdb_oldschool/Graceful+legs+(Hosidius)#WornGraceful legs %28Hosidius)#WornGraceful legs (Hosidius%29#Worn/viewitem?obj=13634,false
Kandarin echo orb,30396,https://secure.runescape.com/m=itemdb_oldschool/Kandarin+echo+orb/viewitem?obj=30396,false
Dragon bolts#Poison,21924,https://secure.runescape.com/m=itemdb_oldschool/Dragon+bolts#Poison/viewitem?obj=21924,false
Infernal ashes,25778,https://secure.runescape.com/m=itemdb_oldschool/Infernal+ashes/viewitem?obj=25778,true
Twisted (+)#(4),20936,https://secure.runescape.com/m=itemdb_oldschool/Twisted+(+)#(4)Twisted %28+)#%284)Twisted (+%29#(4%29/viewitem?obj=20936,false
Sliced banana,3162,https://secure.runescape.com/m=itemdb_oldschool/Sliced+banana/viewitem?obj=3162,true
Orange pumpkin#Laughing,30274,https://secure.runescape.com/m=itemdb_oldschool/Orange+pumpkin#Laughing/viewitem?obj=30274,false
