Item name, item ID, item URL, item found on GE
Grog,1915,https://secure.runescape.com/m=itemdb_oldschool/Grog/viewitem?obj=1915,true
Clue scroll (hard) - 16.48N 30.01W,19840,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+%28hard%29+-+16.48N+30.01W/viewitem?obj=19840,false
Oak clock,8052,https://secure.runescape.com/m=itemdb_oldschool/Oak+clock/viewitem?obj=8052,false
Twisted (+)#(3),20935,https://secure.runescape.com/m=itemdb_oldschool/Twisted+%28%2B%29%23%283%29/viewitem?obj=20935,false
Crystal singing for beginners,4313,https://secure.runescape.com/m=itemdb_oldschool/Crystal+singing+for+beginners/viewitem?obj=4313,false
Assorted flowers,2460,https://secure.runescape.com/m=itemdb_oldschool/Assorted+flowers/viewitem?obj=2460,true
Nitrous oxide,5581,https://secure.runescape.com/m=itemdb_oldschool/Nitrous+oxide/viewitem?obj=5581,false
Clue scroll (easy) - Search the crates in the Dwarven mine,12178,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+%28easy%29+-+Search+the+crates+in+the+Dwarven+mine/viewitem?obj=12178,false
Sunfire rune,28929,https://secure.runescape.com/m=itemdb_oldschool/Sunfire+rune/viewitem?obj=28929,true
Mithril boots,4127,https://secure.runescape.com/m=itemdb_oldschool/Mithril+boots/viewitem?obj=4127,true
Graceful legs (Hosidius)#Worn,13634,https://secure.runescape.com/m=itemdb_oldschool/Graceful+legs+%28Hosidius%29%23Worn/viewitem?obj=13634,false
Kandarin echo orb,30396,https://secure.runescape.com/m=itemdb_oldschool/Kandarin+echo+orb/viewitem?obj=30396,false
Dragon bolts#Poison,21924,https://secure.runescape.com/m=itemdb_oldschool/Dragon+bolts%23Poison/viewitem?obj=21924,false
Infernal ashes,25778,https://secure.runescape.com/m=itemdb_oldschool/Infernal+ashes/viewitem?obj=25778,true
Twisted (+)#(4),20936,https://secure.runescape.com/m=itemdb_oldschool/Twisted+%28%2B%29%23%284%29/viewitem?obj=20936,false
Sliced banana,3162,https://secure.runescape.com/m=itemdb_oldschool/Sliced+banana/viewitem?obj=3162,true
Orange pumpkin#Laughing,30274,https://secure.runescape.com/m=itemdb_oldschool/Orange+pumpkin%23Laughing/viewitem?obj=30274,false
Exquisite boots,5064,https://secure.runescape.com/m=itemdb_oldschool/Exquisite+boots/viewitem?obj=5064,false
Cloak of ruin,27438,https://secure.runescape.com/m=itemdb_oldschool/Cloak+of+ruin/viewitem?obj=27438,false
Starter bow,22333,https://secure.runescape.com/m=itemdb_oldschool/Starter+bow/viewitem?obj=22333,false
Twisted (+)#(1),20933,https://secure.runescape.com/m=itemdb_oldschool/Twisted+%28%2B%29%23%281%29/viewitem?obj=20933,false
Blue moon chestplate (Last Man Standing),29843,https://secure.runescape.com/m=itemdb_oldschool/Blue+moon+chestplate+%28Last+Man+Standing%29/viewitem?obj=29843,false
Clue scroll (medium) - AHA JAR,3616,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+%28medium%29+-+AHA+JAR/viewitem?obj=3616,false
